,age,sex,height,kid_no,purchase
175,23,1,183,2,0
176,38,1,149,1,0
177,23,1,184,1,0
178,32,0,152,1,0
179,58,1,154,1,1
180,55,1,184,2,0
181,42,1,153,0,1
182,25,0,168,1,0
183,43,1,150,0,1
184,52,1,166,2,1
185,31,1,168,1,0
186,40,1,140,0,0
187,30,1,167,2,1
188,57,0,147,2,0
189,48,1,145,1,1
190,22,0,151,2,0
191,47,0,141,2,0
192,39,0,160,2,0
193,45,0,171,2,0
194,43,1,169,1,1
195,40,0,148,2,0
196,49,1,172,1,1
197,23,1,167,0,0
198,55,1,172,2,1
199,59,0,170,2,0
200,29,1,150,1,0
201,29,1,167,1,0
202,43,1,144,1,1
203,23,1,150,1,0
204,46,1,164,2,1
205,23,1,183,2,0
206,51,1,176,2,0
207,29,1,140,2,1
208,30,0,165,0,0
209,47,0,144,1,0
210,27,1,146,2,1
211,59,1,166,1,1
212,41,1,145,1,1
213,53,1,171,1,1
214,54,0,181,1,0
215,54,1,182,0,1
216,44,1,156,1,1
217,53,0,158,1,0
218,25,1,149,0,0
219,56,0,180,2,0
220,20,0,181,1,0
221,31,0,168,1,0
222,54,1,142,0,1
223,25,1,170,0,0
224,36,0,166,0,0
225,28,0,148,0,0
226,21,1,161,2,1
227,37,0,166,0,0
228,55,0,167,0,1
229,47,0,179,0,1
230,56,1,184,2,0
231,45,0,147,0,1
232,23,0,181,0,0
233,59,1,143,1,1
234,55,1,176,2,0
235,50,0,175,0,1
236,49,0,164,2,0
237,53,1,157,1,1
238,38,0,181,2,1
239,37,1,165,0,0
240,49,0,166,0,1
241,40,0,175,0,0
242,22,0,162,0,0
243,25,1,156,2,1
244,57,0,151,2,0
245,32,0,163,1,0
246,22,0,140,0,0
247,47,0,162,2,0
248,41,1,153,2,1
249,59,0,142,1,0
250,59,0,175,1,0
251,31,1,141,1,0
252,42,0,140,2,0
253,50,0,161,0,1
254,37,1,150,1,0
255,26,1,146,1,0
256,27,0,170,0,0
257,38,1,176,0,1
258,48,0,173,0,1
259,39,0,183,2,1
260,49,0,145,0,1
261,41,0,155,0,1
262,29,1,174,0,0
263,45,1,149,2,1
264,52,1,184,0,1
265,47,1,182,0,1
266,29,0,168,1,0
267,48,0,183,2,0
268,37,1,181,2,0
269,20,0,177,2,1
270,42,0,162,0,1
271,36,0,143,1,0
272,56,0,142,2,0
273,50,1,164,2,1
274,44,0,146,1,0
275,23,1,145,0,0
276,28,1,142,2,1
277,47,1,154,2,1
278,49,0,146,2,0
279,43,0,144,2,0
280,52,1,153,2,1
281,39,0,158,2,0
282,28,0,174,2,1
283,27,0,183,0,0
284,43,1,183,2,0
285,33,0,162,2,1
286,37,1,181,2,0
287,20,1,171,1,0
288,31,0,176,1,0
289,48,0,169,1,0
290,56,0,145,0,1
291,45,0,172,0,1
292,52,1,167,1,1
293,34,1,178,0,1
294,42,0,178,1,0
295,48,0,161,2,0
296,40,1,167,2,0
297,38,0,166,2,1
298,24,1,167,1,0
299,42,0,168,2,0
300,55,0,162,2,0
301,39,0,184,0,0
302,27,0,165,0,0
303,28,0,173,1,0
304,33,1,146,2,1
305,25,0,168,1,0
306,20,1,154,1,0
307,28,0,148,1,0
308,35,0,179,0,0
309,35,0,154,1,0
310,31,1,150,1,0
311,24,1,175,0,0
312,59,1,159,0,1
313,48,0,173,0,1
314,46,1,155,1,1
315,30,0,156,2,0
316,47,0,181,1,0
317,55,1,146,2,1
318,38,1,184,1,0
319,54,1,156,1,1
320,50,1,157,1,1
321,38,1,184,2,0
322,43,0,169,0,1
323,21,1,164,2,1
324,26,0,171,2,1
325,50,0,175,1,0
326,36,1,176,0,1
327,46,1,154,2,1
328,55,0,150,0,1
329,29,0,168,1,0
330,33,0,147,0,0
331,26,0,166,2,1
332,58,0,179,0,1
333,59,1,169,0,1
334,28,1,152,0,0
335,33,1,176,2,0
336,27,1,152,2,1
337,36,0,176,1,0
338,42,0,181,2,0
339,35,1,141,2,1
340,45,0,157,1,0
341,28,1,175,0,0
342,55,1,173,1,1
343,26,1,168,1,0
344,37,1,169,2,1
345,27,0,164,1,0
346,40,0,166,1,0
347,45,0,173,1,0
348,22,1,148,2,1
349,36,0,181,1,0
350,43,0,161,1,0
351,44,1,158,2,1
352,24,0,148,0,0
353,56,1,157,1,1
354,43,1,159,0,1
355,50,1,142,0,1
356,45,0,179,0,1
357,40,1,159,0,0
358,53,0,177,2,0
359,57,1,153,1,1
360,43,1,167,0,1
361,47,0,156,2,0
362,49,1,157,0,1
363,53,0,154,2,0
364,42,0,163,2,0
365,27,1,166,2,1
366,29,1,168,1,0
367,20,1,163,2,1
368,39,0,176,2,1
369,56,1,141,2,1
370,37,1,163,0,0
371,40,0,153,2,0
372,23,0,179,2,1
373,21,1,151,2,1
374,40,1,154,0,0
375,56,1,141,2,1
376,24,1,157,2,1
377,36,0,182,2,1
378,30,1,149,2,1
379,50,1,156,2,1
380,47,1,151,2,1
381,51,0,151,0,1
382,40,1,178,0,0
383,26,0,146,0,0
384,29,0,145,0,0
385,47,0,168,0,1
386,55,0,182,0,1
387,39,0,149,0,0
388,32,0,182,1,0
389,38,0,179,1,0
390,30,0,183,0,0
391,54,0,176,2,0
392,53,1,149,2,1
393,23,0,144,1,0
394,32,0,163,0,0
395,56,1,179,0,1
396,21,0,172,0,0
397,20,1,153,1,0
398,59,0,172,0,1
399,44,1,143,1,1
400,56,0,169,0,1
401,55,0,157,2,0
402,25,0,164,1,0
403,26,1,148,0,0
404,23,1,144,2,1
405,54,1,147,1,1
406,53,1,170,2,1
407,48,1,159,0,1
408,24,1,151,2,1
409,46,1,144,2,1
410,52,0,143,0,1
411,29,1,181,2,0
412,25,0,142,2,0
413,53,0,149,0,1
414,27,1,157,1,0
415,50,1,168,1,1
416,28,0,172,1,0
417,40,1,170,1,0
418,27,1,175,2,1
419,23,0,144,1,0
420,41,0,160,2,0
421,47,1,176,0,1
422,23,1,170,1,0
423,58,1,182,2,0
424,40,0,169,1,0
425,27,1,176,1,0
426,39,1,176,1,0
427,51,0,164,1,0
428,20,1,149,0,0
429,25,1,154,1,0
430,47,1,144,2,1
431,50,0,155,1,0
432,29,0,149,2,0
433,39,1,171,1,0
434,27,1,167,2,1
435,41,0,159,1,0
436,57,0,177,1,0
437,48,0,183,1,0
438,28,0,159,2,0
439,20,1,157,2,1
440,58,0,150,1,0
441,45,0,181,0,1
442,30,1,154,1,0
443,54,0,167,1,0
444,43,0,158,0,1
445,52,1,145,2,1
446,39,0,144,1,0
447,46,0,180,0,1
448,34,1,174,2,1
449,52,0,145,0,1
450,26,1,149,1,0
451,53,1,173,2,1
452,24,1,160,0,0
453,49,0,180,0,1
454,47,0,163,1,0
455,37,1,183,1,0
456,55,1,155,2,1
457,22,1,147,1,0
458,40,1,178,1,0
459,35,1,164,0,0
460,56,1,163,0,1
461,24,1,145,0,0
462,33,1,152,2,1
463,50,0,160,2,0
464,43,1,152,2,1
465,54,0,168,0,1
466,55,0,175,1,0
467,29,0,161,2,1
468,46,1,145,2,1
469,46,1,178,0,1
470,42,0,157,1,0
471,32,0,141,0,0
472,35,1,152,1,0
473,54,0,148,0,1
474,46,0,143,1,0
475,58,1,176,2,0
476,36,1,153,2,1
477,20,1,163,1,0
478,30,0,147,2,0
479,31,0,179,1,0
480,33,0,170,1,0
481,27,0,176,0,0
482,50,0,148,0,1
483,26,0,150,1,0
484,50,0,145,0,1
485,35,0,179,1,0
486,58,0,142,0,1
487,38,1,159,2,1
488,27,1,143,2,1
489,48,0,164,0,1
490,21,0,150,1,0
491,22,0,162,1,0
492,48,0,141,0,1
493,34,1,159,2,1
494,57,1,168,0,1
495,47,0,169,0,1
496,56,1,173,2,1
497,51,0,162,2,0
498,49,0,147,2,0
499,49,0,148,1,0
500,53,0,181,2,0
501,32,1,169,2,1
502,52,1,159,0,1
503,36,1,162,2,1
504,22,0,181,0,0
505,28,0,148,1,0
506,30,1,147,0,0
507,46,0,140,2,0
508,47,0,168,0,1
509,21,1,145,2,1
510,20,1,159,1,0
511,25,1,147,2,1
512,44,1,178,0,1
513,54,1,180,0,1
514,35,1,165,0,0
515,23,0,145,1,0
516,57,1,175,1,1
517,39,1,164,1,0
518,44,0,150,1,0
519,26,1,183,2,0
520,40,0,149,2,0
521,26,1,176,1,0
522,48,0,161,1,0
523,26,0,156,2,0
524,22,1,176,1,0
525,48,0,156,2,0
526,48,0,182,1,0
527,58,0,146,1,0
528,57,1,181,2,0
529,25,0,165,2,1
530,29,1,174,1,0
531,56,1,143,2,1
532,33,1,162,0,0
533,41,1,169,2,1
534,51,0,164,1,0
535,37,0,173,1,0
536,55,0,175,2,0
537,28,0,164,0,0
538,45,0,178,2,0
539,41,1,151,1,1
540,57,1,182,2,0
541,42,0,175,1,0
542,36,1,164,0,0
543,45,1,147,1,1
544,57,0,176,0,1
545,21,1,151,1,0
546,25,0,140,2,0
547,26,1,176,2,0
548,32,1,145,2,1
549,46,1,149,1,1
550,30,0,145,0,0
551,34,1,182,1,0
552,28,0,154,1,0
553,27,0,162,2,1
554,25,1,178,2,0
555,23,0,173,1,0
556,30,1,175,0,0
557,47,1,148,1,1
558,45,0,171,1,0
559,23,1,142,2,1
560,34,0,176,2,1
561,38,1,160,0,0
562,25,1,159,1,0
563,24,1,170,2,1
564,37,1,149,0,0
565,25,0,160,0,0
566,50,1,173,0,1
567,44,0,179,0,1
568,23,0,174,1,0
569,25,1,166,1,0
570,56,0,158,2,0
571,44,1,176,2,0
572,53,1,175,2,1
573,38,1,181,0,1
574,53,1,150,1,1
575,34,1,151,1,0
576,27,0,145,0,0
577,53,0,168,2,0
578,37,1,176,2,0
579,49,0,151,2,0
580,32,1,178,1,0
581,52,1,156,0,1
582,54,0,175,2,0
583,43,0,160,1,0
584,45,0,174,2,0
585,20,0,152,1,0
586,32,0,143,1,0
587,29,0,178,0,0
588,38,1,181,0,1
589,24,1,147,2,1
590,27,0,151,1,0
591,23,1,161,1,0
592,32,0,161,2,1
593,57,0,154,0,1
594,38,0,151,2,0
595,27,1,141,0,0
596,46,0,152,2,0
597,49,1,182,1,0
598,23,1,163,1,0
599,30,0,145,0,0
600,40,0,177,1,0
601,21,0,152,2,0
602,40,1,158,0,0
603,36,1,164,2,1
604,48,1,160,2,1
605,46,0,156,2,0
606,43,1,155,2,1
607,22,1,154,1,0
608,58,1,177,0,1
609,29,0,176,0,0
610,22,0,163,2,1
611,45,0,175,1,0
612,56,0,160,2,0
613,46,1,182,0,1
614,24,1,150,1,0
615,30,1,147,2,1
616,32,0,179,2,1
617,53,1,161,1,1
618,57,0,141,1,0
619,59,1,150,0,1
620,52,1,169,0,1
621,53,1,167,2,1
622,46,1,175,2,1
623,55,1,172,0,1
624,45,1,147,0,1
625,44,0,178,2,0
626,38,0,162,0,0
627,40,0,180,2,0
628,50,1,160,1,1
629,48,0,144,0,1
630,28,1,162,0,0
631,38,1,176,2,0
632,45,0,172,1,0
633,44,1,140,2,1
634,59,0,159,0,1
635,48,1,156,1,1
636,44,1,183,2,0
637,38,1,149,2,1
638,23,1,143,0,0
639,39,0,156,0,0
640,20,1,155,0,0
641,30,0,157,0,0
642,23,1,152,0,0
643,26,1,174,1,0
644,47,0,183,0,1
645,55,1,164,2,1
646,26,0,140,1,0
647,39,1,172,2,1
648,54,1,148,0,1
649,58,0,175,0,1
650,40,1,155,2,0
651,20,1,174,1,0
652,56,1,177,1,0
653,22,1,164,0,0
654,53,1,160,0,1
655,32,0,184,2,1
656,35,0,163,1,0
657,53,1,158,1,1
658,43,1,145,2,1
659,32,1,142,1,0
660,25,1,184,0,1
661,58,0,161,1,0
662,21,1,176,2,0
663,30,0,167,2,1
664,26,0,151,0,0
665,26,1,152,0,0
666,58,1,180,2,0
667,58,0,153,1,0
668,31,0,166,0,0
669,41,1,183,0,1
670,22,1,173,1,0
671,32,1,181,1,0
672,49,0,152,1,0
673,29,1,178,2,0
674,28,1,158,0,0
675,25,0,181,1,0
676,21,1,167,0,0
677,35,0,145,0,0
678,32,1,150,2,1
679,32,1,171,0,0
680,41,0,141,1,0
681,38,1,166,2,1
682,45,0,161,2,0
683,33,1,163,2,1
684,50,1,161,0,1
685,48,1,155,1,1
686,41,1,176,1,0
687,26,1,141,1,0
688,56,1,162,0,1
689,46,0,147,0,1
690,50,1,149,0,1
691,25,0,148,0,0
692,35,1,152,0,0
693,57,1,167,0,1
694,57,0,143,2,0
695,51,1,161,2,1
696,52,0,153,2,0
697,36,1,178,2,0
698,52,0,176,2,0
699,30,0,175,0,0
700,32,0,141,1,0
701,49,1,183,1,0
702,20,0,156,1,0
703,49,1,150,0,1
704,46,0,153,1,0
705,59,1,148,1,1
706,42,1,145,0,1
707,39,1,180,1,0
708,25,0,159,2,0
709,56,1,174,1,1
710,39,0,171,2,1
711,56,0,178,0,1
712,25,0,158,1,0
713,48,0,146,0,1
714,32,0,183,2,1
715,46,1,154,2,1
716,39,0,171,1,0
717,32,1,184,2,0
718,58,1,172,0,1
719,27,0,171,1,0
720,36,1,157,1,0
721,49,1,140,2,1
722,20,1,160,2,1
723,43,0,150,0,1
724,35,0,158,0,0
725,30,1,175,0,0
726,23,0,171,2,1
727,23,1,169,2,1
728,36,1,172,0,0
729,29,1,184,0,1
730,40,0,154,1,0
731,57,0,156,0,1
732,37,1,172,1,0
733,29,0,168,2,1
734,35,0,154,0,0
735,58,1,179,1,0
736,34,0,164,0,0
737,53,1,156,1,1
738,24,0,182,0,0
739,36,1,161,0,0
740,56,1,151,0,1
741,27,1,177,2,0
742,43,0,174,0,1
743,47,1,173,0,1
744,27,1,162,1,0
745,42,0,178,1,0
746,54,0,156,2,0
747,50,0,176,1,0
748,36,1,140,0,0
749,47,0,166,0,1
750,31,1,153,1,0
751,43,1,165,2,1
752,34,1,154,2,1
753,59,1,171,1,1
754,50,0,172,1,0
755,46,1,165,0,1
756,54,1,147,2,1
757,37,0,152,1,0
758,55,0,156,0,1
759,27,1,180,0,1
760,57,1,145,2,1
761,24,1,181,2,0
762,33,1,161,1,0
763,57,0,166,1,0
764,39,1,149,2,1
765,28,0,148,2,0
766,52,1,145,0,1
767,37,0,168,2,1
768,25,0,158,0,0
769,56,1,168,1,1
770,21,0,176,2,1
771,49,1,183,1,0
772,25,1,166,0,0
773,36,0,144,1,0
774,58,1,177,0,1
775,42,0,144,2,0
776,50,0,147,1,0
777,39,0,142,2,0
778,24,0,150,0,0
779,40,0,181,0,0
780,30,0,179,2,1
781,23,0,169,0,0
782,42,0,148,0,1
783,57,1,165,1,1
784,49,1,178,1,0
785,37,0,156,2,0
786,50,1,155,0,1
787,49,0,182,1,0
788,53,1,143,2,1
789,50,1,160,0,1
790,57,1,170,1,1
791,44,1,166,2,1
792,36,0,182,1,0
793,55,1,158,0,1
794,59,0,147,2,0
795,49,0,168,1,0
796,21,0,179,1,0
797,43,1,159,1,1
798,28,1,170,1,0
799,20,1,141,2,1
800,43,1,161,0,1
801,57,0,174,0,1
802,46,1,145,0,1
803,45,0,144,1,0
804,45,0,174,1,0
805,26,1,166,2,1
806,44,1,184,1,0
807,35,0,181,2,1
808,57,0,163,1,0
809,37,1,179,2,0
810,36,0,145,2,0
811,25,1,170,1,0
812,39,0,164,2,1
813,42,0,173,1,0
814,31,1,181,0,1
815,31,0,168,1,0
816,53,0,148,2,0
817,27,0,172,2,1
818,46,0,165,1,0
819,27,1,148,0,0
820,52,0,149,1,0
821,56,1,166,2,1
822,38,1,146,0,0
823,43,1,184,2,0
824,41,0,163,1,0
825,22,0,182,1,0
826,28,1,171,1,0
827,30,1,168,0,0
828,25,1,155,2,1
829,58,1,144,1,1
830,58,1,171,1,1
831,56,1,161,2,1
832,21,1,153,0,0
833,56,0,164,1,0
834,25,0,172,1,0
835,25,1,164,2,1
836,58,0,144,2,0
837,55,0,166,0,1
838,44,0,176,0,1
839,35,0,159,1,0
840,40,0,142,1,0
841,29,0,161,1,0
842,24,0,145,0,0
843,44,1,170,1,1
844,50,0,144,1,0
845,22,1,166,2,1
846,39,1,170,0,0
847,23,0,155,1,0
848,33,0,151,2,0
849,31,0,165,2,1
850,33,1,178,2,0
851,56,1,182,2,0
852,37,1,149,0,0
853,46,0,164,2,0
854,26,0,165,1,0
855,54,0,143,2,0
856,41,0,181,0,1
857,40,1,166,0,0
858,37,0,174,1,0
859,57,0,163,2,0
860,45,0,171,1,0
861,41,0,142,0,1
862,56,1,148,0,1
863,24,0,151,1,0
864,54,0,174,2,0
865,31,0,175,0,0
866,54,0,149,0,1
867,53,0,153,0,1
868,39,0,181,0,0
869,31,1,179,1,0
870,53,1,183,0,1
871,45,1,154,2,1
872,53,0,147,1,0
873,51,1,155,0,1
874,26,1,175,0,0
875,45,1,169,0,1
876,44,1,142,2,1
877,58,1,158,0,1
878,36,1,181,0,1
879,43,1,172,2,1
880,46,1,151,0,1
881,23,0,172,2,1
882,46,1,146,1,1
883,49,0,181,1,0
884,22,1,149,1,0
885,25,1,182,0,1
886,27,0,178,0,0
887,35,0,184,1,0
888,34,1,151,2,1
889,55,1,176,1,0
890,59,0,181,0,1
891,27,0,172,1,0
892,58,1,161,2,1
893,49,0,159,2,0
894,31,0,166,1,0
895,23,0,184,0,0
896,33,0,165,2,1
897,44,1,180,0,1
898,24,1,179,1,0
899,42,0,181,2,0
900,49,1,172,1,1
901,58,0,145,0,1
902,31,0,166,1,0
903,34,0,165,0,0
904,38,0,172,1,0
905,45,0,184,1,0
906,23,1,157,1,0
907,57,0,144,0,1
908,27,1,145,1,0
909,49,0,176,2,0
910,34,0,157,2,0
911,31,1,152,2,1
912,29,0,152,1,0
913,31,0,141,2,0
914,36,1,177,2,0
915,59,0,140,0,1
916,21,1,163,1,0
917,38,1,146,1,0
918,48,1,150,0,1
919,20,1,149,2,1
920,41,1,161,0,1
921,44,0,167,0,1
922,29,1,156,1,0
923,28,0,178,2,1
924,38,0,167,0,0
925,31,1,178,2,0
926,48,0,154,2,0
927,37,1,183,1,0
928,35,0,184,2,1
929,23,0,150,2,0
930,44,0,169,0,1
931,41,0,177,0,1
932,48,0,167,0,1
933,41,1,168,1,1
934,34,1,162,2,1
935,21,1,179,1,0
936,32,1,160,2,1
937,31,0,172,1,0
938,45,0,152,1,0
939,59,1,169,2,1
940,31,1,143,0,0
941,46,1,151,1,1
942,54,0,162,2,0
943,21,0,149,0,0
944,36,1,168,0,0
945,21,1,184,2,0
946,36,0,157,2,0
947,53,1,162,2,1
948,53,0,146,2,0
949,58,0,155,0,1
950,28,0,179,0,0
951,33,1,159,1,0
952,39,1,166,2,1
953,52,1,163,0,1
954,43,0,183,2,0
955,24,1,155,1,0
956,51,0,160,1,0
957,42,0,184,1,0
958,20,0,170,1,0
959,57,0,183,0,1
960,51,0,173,2,0
961,35,1,140,1,0
962,39,1,155,2,1
963,35,0,182,2,1
964,32,0,171,0,0
965,30,0,168,2,1
966,36,1,147,1,0
967,26,1,169,2,1
968,41,0,153,2,0
969,50,0,166,1,0
970,23,0,178,2,1
971,36,0,144,1,0
972,20,1,175,0,0
973,21,1,173,1,0
974,52,0,149,2,0
975,38,1,146,1,0
976,38,1,177,2,0
977,42,0,175,0,1
978,35,1,154,2,1
979,35,0,158,1,0
980,48,1,171,1,1
981,27,1,153,1,0
982,47,1,145,1,1
983,44,1,159,0,1
984,44,0,184,2,0
985,32,1,153,0,0
986,33,0,167,1,0
987,38,1,164,1,0
988,34,0,173,2,1
989,34,1,144,0,0
990,40,0,184,2,0
991,27,0,152,0,0
992,47,1,167,0,1
993,35,1,153,0,0
994,43,1,154,1,1
995,31,1,141,1,0
996,33,1,146,0,0
997,49,0,163,1,0
998,51,1,146,2,1
999,38,1,176,1,0
1000,24,0,143,0,0
1001,48,0,143,0,1
1002,21,0,143,1,0
1003,43,1,178,0,1
1004,36,0,184,1,0
1005,46,0,144,0,1
1006,22,0,170,0,0
1007,37,1,150,1,0
1008,40,1,146,0,0
1009,58,0,178,1,0
1010,20,1,171,1,0
1011,26,0,172,1,0
1012,42,0,180,2,0
1013,35,1,164,0,0
1014,30,1,165,2,1
1015,54,1,166,0,1
1016,58,1,169,1,1
1017,41,1,145,1,1
1018,54,1,152,1,1
1019,52,1,143,1,1
1020,55,1,159,0,1
1021,59,1,176,0,1
1022,47,1,141,0,1
1023,30,0,145,2,0
1024,24,0,183,2,1
1025,37,0,183,2,1
1026,23,1,155,0,0
1027,57,1,152,1,1
1028,50,0,183,1,0
1029,43,1,148,1,1
1030,49,0,178,2,0
1031,58,1,171,2,1
1032,50,0,146,0,1
1033,31,0,181,1,0
1034,22,0,147,2,0
1035,49,0,179,0,1
1036,27,0,153,2,0
1037,29,1,148,1,0
1038,43,0,161,0,1
1039,20,0,146,2,0
1040,37,0,151,0,0
1041,41,0,149,1,0
1042,50,0,173,0,1
1043,46,0,152,0,1
1044,35,1,176,0,1
1045,37,1,142,2,1
1046,30,0,167,1,0
1047,37,0,167,2,1
1048,23,0,176,0,0
1049,59,1,155,0,1
1050,29,0,181,2,1
1051,49,1,178,0,1
1052,23,1,180,1,0
1053,27,0,161,0,0
1054,36,0,171,0,0
1055,54,0,148,1,0
1056,24,1,184,2,0
1057,46,1,174,2,1
1058,56,1,148,0,1
1059,26,1,142,2,1
1060,52,1,156,1,1
1061,37,0,180,2,1
1062,57,1,151,1,1
1063,47,0,150,2,0
1064,34,1,152,1,0
1065,42,0,158,0,1
1066,51,1,165,2,1
1067,28,0,144,2,0
1068,49,1,141,1,1
1069,48,1,145,2,1
1070,51,0,142,2,0
1071,54,1,142,0,1
1072,37,0,184,1,0
1073,48,0,183,2,0
1074,36,0,179,1,0
1075,28,1,158,1,0
1076,27,1,156,1,0
1077,32,0,157,0,0
1078,52,0,160,2,0
1079,40,1,184,1,0
1080,31,0,154,1,0
1081,49,0,160,1,0
1082,20,1,173,0,0
1083,40,1,149,0,0
1084,48,0,148,2,0
1085,33,0,164,0,0
1086,57,0,165,0,1
1087,59,1,174,0,1
1088,24,1,171,1,0
1089,32,1,175,2,1
1090,57,1,158,2,1
1091,24,1,145,0,0
1092,56,0,184,0,1
1093,36,1,163,1,0
1094,38,1,173,0,0
1095,57,1,170,0,1
1096,50,0,174,1,0
1097,55,1,169,1,1
1098,20,0,152,1,0
1099,29,1,182,2,0
1100,53,1,147,1,1
1101,32,1,144,0,0
1102,26,1,183,0,1
1103,56,1,183,0,1
1104,55,0,140,2,0
1105,58,0,140,0,1
1106,56,0,178,0,1
1107,50,0,149,1,0
1108,39,1,160,1,0
1109,58,0,148,2,0
1110,55,0,146,1,0
1111,34,1,160,2,1
1112,49,1,184,0,1
1113,37,0,141,2,0
1114,23,1,181,1,0
1115,49,0,144,0,1
1116,47,1,168,2,1
1117,23,0,141,0,0
1118,53,0,159,0,1
1119,47,0,170,1,0
1120,56,0,142,2,0
1121,41,0,156,0,1
1122,59,0,154,0,1
1123,30,1,162,1,0
1124,49,0,156,0,1
1125,49,0,151,0,1
1126,44,0,154,0,1
1127,36,1,160,2,1
1128,20,0,171,1,0
1129,56,0,150,2,0
1130,54,0,180,0,1
1131,33,1,154,2,1
1132,21,0,178,0,0
1133,22,0,151,0,0
1134,22,1,153,1,0
1135,39,1,140,0,0
1136,32,0,180,2,1
1137,50,0,147,2,0
1138,59,1,152,2,1
1139,41,0,141,2,0
1140,33,1,158,2,1
1141,46,0,184,1,0
1142,32,1,143,0,0
1143,20,0,142,0,0
1144,21,1,162,1,0
1145,56,1,166,1,1
1146,30,0,158,2,0
1147,52,0,174,0,1
1148,48,0,149,0,1
1149,22,1,183,0,1
1150,48,1,143,0,1
